33,11th Street Bar,"['510 E 11th St', 'New York, NY 10009']",pC92jJr2d1VrxGKRNPPERA,4.0,137,"{'latitude': 40.72802, 'longitude': -73.98128}",$
34,The Waylon,"['736 10th Ave', 'New York, NY 10019']",rvabT9eHrKFKgfNPrp69Zw,4.5,117,"{'latitude': 40.7650840967709, 'longitude': -73.9918056894333}",$$
35,Local 138,"['181 Orchard St', 'New York, NY 10002']",EDFfoyXTsHPBW6mNWLVoig,4.0,243,"{'latitude': 40.72191, 'longitude': -73.98841}",$
36,Bar Great Harry,"['280 Smith St', 'Brooklyn, NY 11231']",IPrNgaXjtEJrb8vWA3si1g,4.0,208,"{'latitude': 40.682437, 'longitude': -73.993598}",$$
37,TØRST,"['615 Manhattan Ave', 'Brooklyn, NY 11222']",TDyu1-6XF7r1jc13j7nDNA,4.5,406,"{'latitude': 40.7233949, 'longitude': -73.950856}",$$
38,Dark Horse,"['17 Murray St', 'New York, NY 10007']",bJdS98j_HTfyg-xUlu6V5A,4.0,396,"{'latitude': 40.713718, 'longitude': -74.008036}",$$
39,Blondies Sports,"['212 W 79th St', 'New York, NY 10024']",zzVeJukpmXchLTQQhxzQjQ,3.5,461,"{'latitude': 40.78321, 'longitude': -73.97919}",$$
40,Forrest Point,"['970 Flushing Ave', 'Brooklyn, NY 11206']",zHqDuMznom7CLp2lqV8q0g,4.0,367,"{'latitude': 40.70319, 'longitude': -73.93229}",$$
41,Clinton Hall,"['90 Washington St', 'New York, NY 10006']",nm5rcWNmfevNXLNQAITi5w,3.5,684,"{'latitude': 40.70803, 'longitude': -74.014869}",$$
42,Desmond's Tavern,"['433 Park Ave S', 'New York, NY 10016']",CF4-nuTzsuBTg1Hxc2AcMg,3.0,148,"{'latitude': 40.74414, 'longitude': -73.98307}",$
43,The Grafton,"['126 1st Ave', 'New York, NY 10009']",ZCfqAtpASbibf_YaU1rIpw,4.0,78,"{'latitude': 40.7271881103516, 'longitude': -73.9851989746094}",$$
44,Drunk Shakespeare,"['711 7th Ave', 'Fl 2', 'New York, NY 10019']",FeBktm4xEr1cB94fY4jCYg,4.5,608,"{'latitude': 40.7594979549673, 'longitude': -73.9839559215396}",$$
45,South Brooklyn Foundry,"['6909 3rd Ave', 'Brooklyn, NY 11209']",MKMx5TAmzXfjgLdXgu6FVQ,4.5,311,"{'latitude': 40.63539, 'longitude': -74.02602}",$$
46,Club Macanudo,"['26 E 63rd St', 'New York, NY 10021']",QbIwccP-ycbVxwSt-LySFw,4.0,181,"{'latitude': 40.7659506265448, 'longitude': -73.9693435220428}",$$$
